DATE,USREC
01/08/1935,0
01/09/1935,0
01/10/1935,0
01/11/1935,0
01/12/1935,0
01/01/1936,0
01/02/1936,0
01/03/1936,0
01/04/1936,0
01/05/1936,0
01/06/1936,0
01/07/1936,0
01/08/1936,0
01/09/1936,0
01/10/1936,0
01/11/1936,0
01/12/1936,0
01/01/1937,0
01/02/1937,0
01/03/1937,0
01/04/1937,0
01/05/1937,0
01/06/1937,1
01/07/1937,1
01/08/1937,1
01/09/1937,1
01/10/1937,1
01/11/1937,1
01/12/1937,1
01/01/1938,1
01/02/1938,1
01/03/1938,1
01/04/1938,1
01/05/1938,1
01/06/1938,1
01/07/1938,0
01/08/1938,0
01/09/1938,0
01/10/1938,0
01/11/1938,0
01/12/1938,0
01/01/1939,0
01/02/1939,0
01/03/1939,0
01/04/1939,0
01/05/1939,0
01/06/1939,0
01/07/1939,0
01/08/1939,0
01/09/1939,0
01/10/1939,0
01/11/1939,0
01/12/1939,0
01/01/1940,0
01/02/1940,0
01/03/1940,0
01/04/1940,0
01/05/1940,0
01/06/1940,0
01/07/1940,0
01/08/1940,0
01/09/1940,0
01/10/1940,0
01/11/1940,0
01/12/1940,0
01/01/1941,0
01/02/1941,0
01/03/1941,0
01/04/1941,0
01/05/1941,0
01/06/1941,0
01/07/1941,0
01/08/1941,0
01/09/1941,0
01/10/1941,0
01/11/1941,0
01/12/1941,0
01/01/1942,0
01/02/1942,0
01/03/1942,0
01/04/1942,0
01/05/1942,0
01/06/1942,0
01/07/1942,0
01/08/1942,0
01/09/1942,0
01/10/1942,0
01/11/1942,0
01/12/1942,0
01/01/1943,0
01/02/1943,0
01/03/1943,0
01/04/1943,0
01/05/1943,0
01/06/1943,0
01/07/1943,0
01/08/1943,0
01/09/1943,0
01/10/1943,0
01/11/1943,0
01/12/1943,0
01/01/1944,0
01/02/1944,0
01/03/1944,0
01/04/1944,0
01/05/1944,0
01/06/1944,0
01/07/1944,0
01/08/1944,0
01/09/1944,0
01/10/1944,0
01/11/1944,0
01/12/1944,0
01/01/1945,0
01/02/1945,0
01/03/1945,1
01/04/1945,1
01/05/1945,1
01/06/1945,1
01/07/1945,1
01/08/1945,1
01/09/1945,1
01/10/1945,1
01/11/1945,0
01/12/1945,0
01/01/1946,0
01/02/1946,0
01/03/1946,0
01/04/1946,0
01/05/1946,0
01/06/1946,0
01/07/1946,0
01/08/1946,0
01/09/1946,0
01/10/1946,0
01/11/1946,0
01/12/1946,0
01/01/1947,0
01/02/1947,0
01/03/1947,0
01/04/1947,0
01/05/1947,0
01/06/1947,0
01/07/1947,0
01/08/1947,0
01/09/1947,0
01/10/1947,0
01/11/1947,0
01/12/1947,0
01/01/1948,0
01/02/1948,0
01/03/1948,0
01/04/1948,0
01/05/1948,0
01/06/1948,0
01/07/1948,0
01/08/1948,0
01/09/1948,0
01/10/1948,0
01/11/1948,0
01/12/1948,1
01/01/1949,1
01/02/1949,1
01/03/1949,1
01/04/1949,1
01/05/1949,1
01/06/1949,1
01/07/1949,1
01/08/1949,1
01/09/1949,1
01/10/1949,1
01/11/1949,0
01/12/1949,0
01/01/1950,0
01/02/1950,0
01/03/1950,0
01/04/1950,0
01/05/1950,0
01/06/1950,0
01/07/1950,0
01/08/1950,0
01/09/1950,0
01/10/1950,0
01/11/1950,0
01/12/1950,0
01/01/1951,0
01/02/1951,0
01/03/1951,0
01/04/1951,0
01/05/1951,0
01/06/1951,0
01/07/1951,0
01/08/1951,0
01/09/1951,0
01/10/1951,0
01/11/1951,0
01/12/1951,0
01/01/1952,0
01/02/1952,0
01/03/1952,0
01/04/1952,0
01/05/1952,0
01/06/1952,0
01/07/1952,0
01/08/1952,0
01/09/1952,0
01/10/1952,0
01/11/1952,0
01/12/1952,0
01/01/1953,0
01/02/1953,0
01/03/1953,0
01/04/1953,0
01/05/1953,0
01/06/1953,0
01/07/1953,0
01/08/1953,1
01/09/1953,1
01/10/1953,1
01/11/1953,1
01/12/1953,1
01/01/1954,1
01/02/1954,1
01/03/1954,1
01/04/1954,1
01/05/1954,1
01/06/1954,0
01/07/1954,0
01/08/1954,0
01/09/1954,0
01/10/1954,0
01/11/1954,0
